[[(2.0084690687964426, 2.1010193452470265), (0.007921911590474564, 2.1020373303351243), (0.006819281449108587, 1.805288735247746), (2.000509582095687, 1.8032149750553559)], [(2.0085584037729807, 0.3003573678069545), (0.001730733613231784, 0.30882214245859263), (0.007493251020374957, 0.0027800377997076776), (2.002501427169101, 0.006954916523518277)]]timestamp position0 velocity0 radius0 heading0 goal pref_speed theta position1 velocity1 radius1 heading1 position2 velocity2 radius2 heading2 position3 velocity3 radius3 heading3 position4 velocity4 radius4 heading4 position5 velocity5 radius5 heading5 position6 velocity6 radius6 heading6 
0.25 (1.3035612106323242,0.8303312659263611) (0.16966481506824493,0.017301589250564575) 0.2199999988079071 -0.3359491635708237 (6.226892296847678,0.8260058719357017) 2.0 0.10162382835732364 (2.329606771469116,0.533858060836792) (0.1017315462231636,-0.16387388110160828) 0.2186412662267685 -0.3222045172563268 (2.4014732837677,0.8903863430023193) (0.11387741565704346,0.15169404447078705) 0.21545812487602234 0.18997666240627953 (2.2486448287963867,1.2465413808822632) (-0.1370963454246521,-0.03792600706219673) 0.18040458858013153 -0.19885400905670317 (2.294447183609009,1.564504861831665) (0.18637464940547943,0.07364154607057571) 0.12506985664367676 -0.08932021816642938 (1.30457391991434,1.803938860641913) (0,0) 1e-07 -0.3359491635708237 (1.3013383696393652,0.30334041329066974) (0,0) 1e-07 -0.3359491635708237 
0.5 (1.3227002620697021,0.8323611617088318) (0.07655598223209381,0.008119689300656319) 0.2199999988079071 -0.3359491635708237 (6.226892296847678,0.8260058719357017) 2.0 0.10566707308135614 (2.3595168590545654,0.49603432416915894) (0.1196403056383133,-0.15129491686820984) 0.2186412662267685 -0.3222045172563268 (2.436546564102173,0.922301173210144) (0.14029334485530853,0.12765935063362122) 0.21545812487602234 0.18997666240627953 (2.2329235076904297,1.2617844343185425) (-0.06288502365350723,0.06097199767827988) 0.18040458858013153 -0.19885400905670317 (2.341040849685669,1.5829153060913086) (0.18637463450431824,0.07364153861999512) 0.12506985664367676 -0.08932021816642938 (1.3237108392270451,1.8039189551523476) (0,0) 1e-07 -0.3359491635708237 (1.3204685186485368,0.30325972255532524) (0,0) 1e-07 -0.3359491635708237 
0.75 (1.3499500751495361,0.8353651165962219) (0.10899925976991653,0.012015755288302898) 0.2199999988079071 -0.3359491635708237 (6.226892296847678,0.8260058719357017) 2.0 0.10979372257360023 (2.406898021697998,0.4870751202106476) (0.18952487409114838,-0.03583681583404541) 0.2186412662267685 -0.3222045172563268 (2.4837138652801514,0.9174087047576904) (0.18866941332817078,-0.019569993019104004) 0.21545812487602234 0.18997666240627953 (2.2334671020507812,1.2798230648040771) (0.0021746158599853516,0.07215457409620285) 0.18040458858013153 -0.19885400905670317 (2.387634515762329,1.6013256311416626) (0.18637464940547943,0.07364152371883392) 0.12506985664367676 -0.08932021816642938 (1.3509574982290589,1.8038906142225675) (0,0) 1e-07 -0.3359491635708237 (1.3477051765044195,0.30314483866447506) (0,0) 1e-07 -0.3359491635708237 
1.0 (1.3760948181152344,0.8382115364074707) (0.10457894206047058,0.011385682970285416) 0.2199999988079071 -0.3359491635708237 (6.226892296847678,0.8260058719357017) 2.0 0.1084445396902162 (2.4542791843414307,0.47811591625213623) (0.18952487409114838,-0.03583681583404541) 0.2186412662267685 -0.3222045172563268 (2.530623197555542,0.9104650020599365) (0.18763713538646698,-0.027774782851338387) 0.21545812487602234 0.18997666240627953 (2.261352777481079,1.2914838790893555) (0.11154294013977051,0.04664314538240433) 0.18040458858013153 -0.19885400905670317 (2.4342281818389893,1.6197359561920166) (0.18637464940547943,0.07364153116941452) 0.12506985664367676 -0.08932021816642938 (1.377099252174319,1.803863422572654) (0,0) 1e-07 -0.3359491635708237 (1.3738374483757934,0.3030346130602462) (0,0) 1e-07 -0.3359491635708237 
1.25 (1.4028873443603516,0.8411710858345032) (0.10717004537582397,0.011838190257549286) 0.2199999988079071 -0.3359491635708237 (6.226892296847678,0.8260058719357017) 2.0 0.11001572883909684 (2.5016603469848633,0.4691567122936249) (0.18952488899230957,-0.03583681583404541) 0.2186412662267685 -0.3222045172563268 (2.577361822128296,0.9024528861045837) (0.18695461750030518,-0.03204847127199173) 0.21545812487602234 0.18997666240627953 (2.306699752807617,1.298438310623169) (0.18138813972473145,0.027817603200674057) 0.18040458858013153 -0.19885400905670317 (2.4808218479156494,1.6381464004516602) (0.18637464940547943,0.07364154607057571) 0.12506985664367676 -0.08932021816642938 (1.4038886710251777,1.8038355572465439) (0,0) 1e-07 -0.3359491635708237 (1.4006170148309556,0.3029216571753528) (0,0) 1e-07 -0.3359491635708237 
1.5 (1.429522156715393,0.8441524505615234) (0.10653916001319885,0.011925462633371353) 0.2199999988079071 -0.3359491635708237 (6.226892296847678,0.8260058719357017) 2.0 0.11147100516147078 (2.549041509628296,0.4601975083351135) (0.18952487409114838,-0.03583681583404541) 0.2186412662267685 -0.3222045172563268 (2.62400221824646,0.893886923789978) (0.18656130135059357,-0.034263916313648224) 0.21545812487602234 0.18997666240627953 (2.3747456073760986,1.3053207397460938) (0.2721834182739258,0.027529507875442505) 0.18040458858013153 -0.19885400905670317 (2.5274155139923096,1.6565567255020142) (0.18637464940547943,0.07364153116941452) 0.12506985664367676 -0.08932021816642938 (1.4305203534651831,1.8038078559917992) (0,0) 1e-07 -0.3359491635708237 (1.427238778186914,0.3028093669020083) (0,0) 1e-07 -0.3359491635708237 
1.75 (1.4560264348983765,0.8471314907073975) (0.10601692646741867,0.011916158720850945) 0.2199999988079071 -0.3359491635708237 (6.226892296847678,0.8260058719357017) 2.0 0.1119288715402469 (2.5964226722717285,0.4512383043766022) (0.18952485918998718,-0.03583681210875511) 0.2186412662267685 -0.3222045172563268 (2.6705894470214844,0.8850371837615967) (0.1863492727279663,-0.03539884835481644) 0.21545812487602234 0.18997666240627953 (2.472109079360962,1.3276573419570923) (0.38945358991622925,0.08934617787599564) 0.18040458858013153 -0.19885400905670317 (2.5740091800689697,1.6749671697616577) (0.18637464940547943,0.07364155352115631) 0.12506985664367676 -0.08932021816642938 (1.4570215042922974,1.803780290511032) (0,0) 1e-07 -0.3359491635708237 (1.4537300194980418,0.30269762716905807) (0,0) 1e-07 -0.3359491635708237 
2.0 (1.4829121828079224,0.8501470685005188) (0.1075432151556015,0.012062357738614082) 0.2199999988079071 -0.3359491635708237 (6.226892296847678,0.8260058719357017) 2.0 0.11169605252379397 (2.643803834915161,0.4422791004180908) (0.18952485918998718,-0.03583680838346481) 0.2186412662267685 -0.3222045172563268 (2.717149496078491,0.8760455846786499) (0.18624059855937958,-0.03596629574894905) 0.21545812487602234 0.18997666240627953 (2.5686428546905518,1.3533432483673096) (0.38613539934158325,0.10274378955364227) 0.18040458858013153 -0.19885400905670317 (2.62060284614563,1.6933774948120117) (0.18637466430664062,0.07364153861999512) 0.12506985664367676 -0.08932021816642938 (1.4839040864282305,1.8037523282800456) (0,0) 1e-07 -0.3359491635708237 (1.4806025696363554,0.3025842790801225) (0,0) 1e-07 -0.3359491635708237 
2.25 (1.5093715190887451,0.8531239032745361) (0.10583721101284027,0.01190732792019844) 0.2199999988079071 -0.3359491635708237 (6.226892296847678,0.8260058719357017) 2.0 0.11203494955511742 (2.6911849975585938,0.43331989645957947) (0.18952485918998718,-0.035836804658174515) 0.2186412662267685 -0.3222045172563268 (2.7636966705322266,0.8669865131378174) (0.18618828058242798,-0.036236222833395004) 0.21545812487602234 0.18997666240627953 (2.6651766300201416,1.3790291547775269) (0.38613536953926086,0.10274378210306168) 0.18040458858013153 -0.19885400905670317 (2.66719651222229,1.7117879390716553) (0.18637466430664062,0.07364156097173691) 0.12506985664367676 -0.08932021816642938 (1.5103602976957493,1.803724809543685) (0,0) 1e-07 -0.3359491635708237 (1.507048879146955,0.30247272886895915) (0,0) 1e-07 -0.3359491635708237 
2.5 (1.5346641540527344,0.8559562563896179) (0.1011705994606018,0.011329480446875095) 0.2199999988079071 -0.3359491635708237 (6.226892296847678,0.8260058719357017) 2.0 0.11151930452845119 (2.7385661602020264,0.4243606925010681) (0.18952485918998718,-0.035836804658174515) 0.2186412662267685 -0.3222045172563268 (2.8102381229400635,0.8578988313674927) (0.186165913939476,-0.03635084256529808) 0.21545812487602234 0.18997666240627953 (2.7617104053497314,1.4047150611877441) (0.38613539934158325,0.10274380445480347) 0.18040458858013153 -0.19885400905670317 (2.71379017829895,1.7301983833312988) (0.18637464940547943,0.07364153861999512) 0.12506985664367676 -0.08932021816642938 (1.5356499591928474,1.8036985042076583) (0,0) 1e-07 -0.3359491635708237 (1.53232911750866,0.3023660971316887) (0,0) 1e-07 -0.3359491635708237 
