[[(2.0020181383753517, 2.1012943242740376), (0.0035447921952646688, 2.1098204605783972), (0.005981152908349558, 1.8054348090120154), (2.003680860742384, 1.8030725275107138)], [(2.0050908861305636, 0.3054657472184265), (0.00849264194382959, 0.30845683866309875), (0.0005148588081964367, 0.006715067513630707), (2.0060680145590064, 0.004315540271912744)]]timestamp position0 velocity0 radius0 heading0 goal pref_speed theta position1 velocity1 radius1 heading1 position2 velocity2 radius2 heading2 position3 velocity3 radius3 heading3 position4 velocity4 radius4 heading4 position5 velocity5 radius5 heading5 position6 velocity6 radius6 heading6 
0.25 (1.453978419303894,0.9708516001701355) (0.11449389904737473,0.011434994637966156) 0.2199999988079071 -0.2001789173670194 (5.973035306200595,0.9679928490365415) 2.0 0.09954416623600328 (2.4290709495544434,0.5438826680183411) (0.12763914465904236,-0.027527065947651863) 0.1410929560661316 0.052841946083554636 (2.189826011657715,0.8400040864944458) (-0.08349304646253586,-0.06003951281309128) 0.15930183231830597 -0.09238932450934656 (2.412750244140625,1.2163256406784058) (0.2678830325603485,0.0737643614411354) 0.138365238904953 0.036164198280263016 (2.315840482711792,1.5970807075500488) (0.33059197664260864,0.08565041422843933) 0.13247433304786682 0.15258818527963702 (1.4549632884919275,1.8037213864784971) (0,0) 1e-07 -0.2001789173670194 (1.4529828479727924,0.30629285684565205) (0,0) 1e-07 -0.2001789173670194 
0.5 (1.4643782377243042,0.9742667078971863) (0.041599489748477936,0.013660318218171597) 0.2199999988079071 -0.2001789173670194 (5.973035306200595,0.9679928490365415) 2.0 0.3172832974553266 (2.4609806537628174,0.5370008945465088) (0.12763914465904236,-0.027527062222361565) 0.1410929560661316 0.052841946083554636 (2.195915699005127,0.831501841545105) (0.02435903623700142,-0.03400900959968567) 0.15930183231830597 -0.09238932450934656 (2.4797210693359375,1.2347667217254639) (0.2678830325603485,0.0737643614411354) 0.138365238904953 0.036164198280263016 (2.399966239929199,1.611642599105835) (0.3365029990673065,0.05824746564030647) 0.13247433304786682 0.15258818527963702 (1.465359054008237,1.8037090934774647) (0,0) 1e-07 -0.2001789173670194 (1.4633775269128786,0.30627728464161036) (0,0) 1e-07 -0.2001789173670194 
0.75 (1.4761182069778442,0.9784389138221741) (0.046959832310676575,0.01668873056769371) 0.2199999988079071 -0.2001789173670194 (5.973035306200595,0.9679928490365415) 2.0 0.3414623776478494 (2.4928903579711914,0.5301191210746765) (0.12763912975788116,-0.027527060359716415) 0.1410929560661316 0.052841946083554636 (2.2261693477630615,0.8538618683815002) (0.12101464718580246,0.0894400104880333) 0.15930183231830597 -0.09238932450934656 (2.54669189453125,1.253207802772522) (0.2678830325603485,0.073764368891716) 0.138365238904953 0.036164198280263016 (2.484135389328003,1.6259512901306152) (0.33667677640914917,0.057234589010477066) 0.13247433304786682 0.15258818527963702 (1.4770940732157631,1.8036952168078717) (0,0) 1e-07 -0.2001789173670194 (1.475111219476852,0.30625970646956463) (0,0) 1e-07 -0.2001789173670194 
1.0 (1.4871057271957397,0.9833073616027832) (0.04394987225532532,0.01947379671037197) 0.2199999988079071 -0.2001789173670194 (5.973035306200595,0.9679928490365415) 2.0 0.41709363966060603 (2.5248000621795654,0.5232373476028442) (0.12763912975788116,-0.027527054771780968) 0.1410929560661316 0.052841946083554636 (2.2803163528442383,0.8668269515037537) (0.21658764779567719,0.05186038836836815) 0.15930183231830597 -0.09238932450934656 (2.6136627197265625,1.27164888381958) (0.2678830027580261,0.073764368891716) 0.138365238904953 0.036164198280263016 (2.5683045387268066,1.6402599811553955) (0.33667677640914917,0.05723457410931587) 0.13247433304786682 0.15258818527963702 (1.4880758211343992,1.8036822308821803) (0,0) 1e-07 -0.2001789173670194 (1.4860914216606234,0.30624325709678357) (0,0) 1e-07 -0.2001789173670194 
1.25 (1.4997148513793945,0.989982545375824) (0.05043655261397362,0.02670080028474331) 0.2199999988079071 -0.2001789173670194 (5.973035306200595,0.9679928490365415) 2.0 0.4868852313696596 (2.5567097663879395,0.516355574131012) (0.12763912975788116,-0.027527054771780968) 0.1410929560661316 0.052841946083554636 (2.336411476135254,0.8677664399147034) (0.22438031435012817,0.003758028382435441) 0.15930183231830597 -0.09238932450934656 (2.680633544921875,1.2900899648666382) (0.2678830325603485,0.0737643837928772) 0.138365238904953 0.036164198280263016 (2.6524736881256104,1.6545686721801758) (0.33667677640914917,0.05723456293344498) 0.13247433304786682 0.15258818527963702 (1.5006770342875277,1.8036673299375543) (0,0) 1e-07 -0.2001789173670194 (1.4986905175169118,0.30622438246943373) (0,0) 1e-07 -0.2001789173670194 
1.5 (1.5164633989334106,1.0013247728347778) (0.06699441373348236,0.04536907374858856) 0.2199999988079071 -0.2001789173670194 (5.973035306200595,0.9679928490365415) 2.0 0.5952641778651043 (2.5886194705963135,0.5094738006591797) (0.12763914465904236,-0.027527054771780968) 0.1410929560661316 0.052841946083554636 (2.3922555446624756,0.8623843193054199) (0.22337673604488373,-0.021528515964746475) 0.15930183231830597 -0.09238932450934656 (2.7476043701171875,1.3085310459136963) (0.2678830325603485,0.0737643837928772) 0.138365238904953 0.036164198280263016 (2.736642837524414,1.668877363204956) (0.33667677640914917,0.05723454803228378) 0.13247433304786682 0.15258818527963702 (1.5174121462476646,1.803647540654285) (0,0) 1e-07 -0.2001789173670194 (1.5154220358000319,0.30619931708567977) (0,0) 1e-07 -0.2001789173670194 
1.75 (1.5333786010742188,1.0129588842391968) (0.06766074895858765,0.04653631150722504) 0.2199999988079071 -0.2001789173670194 (5.973035306200595,0.9679928490365415) 2.0 0.6024834898633376 (2.6205291748046875,0.5025920271873474) (0.12763914465904236,-0.02752705104649067) 0.1410929560661316 0.052841946083554636 (2.447669744491577,0.8536202907562256) (0.22165676951408386,-0.03505599871277809) 0.15930183231830597 -0.09238932450934656 (2.8145751953125,1.3269721269607544) (0.2678830027580261,0.0737643912434578) 0.138365238904953 0.036164198280263016 (2.8208119869232178,1.6831860542297363) (0.33667677640914917,0.05723453313112259) 0.13247433304786682 0.15258818527963702 (1.534313567409043,1.803627554710252) (0,0) 1e-07 -0.2001789173670194 (1.5323197710273775,0.3061740026933527) (0,0) 1e-07 -0.2001789173670194 
2.0 (1.550276517868042,1.0245968103408813) (0.06759142875671387,0.04655192047357559) 0.2199999988079071 -0.2001789173670194 (5.973035306200595,0.9679928490365415) 2.0 0.6031188382526123 (2.6524388790130615,0.49571025371551514) (0.12763912975788116,-0.02752704732120037) 0.1410929560661316 0.052841946083554636 (2.502763032913208,0.8430249094963074) (0.22037342190742493,-0.04238158091902733) 0.15930183231830597 -0.09238932450934656 (2.8815460205078125,1.3454132080078125) (0.2678830325603485,0.07376439869403839) 0.138365238904953 0.036164198280263016 (2.9049811363220215,1.697494626045227) (0.33667677640914917,0.057234518229961395) 0.13247433304786682 0.15258818527963702 (1.55119769873673,1.8036075892114614) (0,0) 1e-07 -0.2001789173670194 (1.5492002152317699,0.3061487142045999) (0,0) 1e-07 -0.2001789173670194 
2.25 (1.5668798685073853,1.0359716415405273) (0.06641317903995514,0.04549925774335861) 0.2199999988079071 -0.2001789173670194 (5.973035306200595,0.9679928490365415) 2.0 0.6006515973990426 (2.6843485832214355,0.48882848024368286) (0.12763914465904236,-0.02752704732120037) 0.1410929560661316 0.052841946083554636 (2.5576539039611816,0.8314259052276611) (0.2195633500814438,-0.0463959202170372) 0.15930183231830597 -0.09238932450934656 (2.948516845703125,1.3638542890548706) (0.2678830325603485,0.07376441359519958) 0.138365238904953 0.036164198280263016 (2.989150285720825,1.7118033170700073) (0.33667677640914917,0.05723453313112259) 0.13247433304786682 0.15258818527963702 (1.5677875754313282,1.8035879716690093) (0,0) 1e-07 -0.2001789173670194 (1.5657864880827277,0.3061238664121269) (0,0) 1e-07 -0.2001789173670194 
2.5 (1.5834685564041138,1.04737389087677) (0.06635460257530212,0.04560893028974533) 0.2199999988079071 -0.2001789173670194 (5.973035306200595,0.9679928490365415) 2.0 0.6021864464741435 (2.7162582874298096,0.4819467067718506) (0.12763914465904236,-0.02752704545855522) 0.1410929560661316 0.052841946083554636 (2.61242413520813,0.8192701935768127) (0.21908099949359894,-0.04862275347113609) 0.15930183231830597 -0.09238932450934656 (3.0154876708984375,1.3822953701019287) (0.2678830027580261,0.07376442104578018) 0.138365238904953 0.036164198280263016 (3.073319435119629,1.726111888885498) (0.33667677640914917,0.0572345070540905) 0.13247433304786682 0.15258818527963702 (1.5843627569818912,1.803568371503577) (0,0) 1e-07 -0.2001789173670194 (1.5823580571491296,0.3060990406473023) (0,0) 1e-07 -0.2001789173670194 
