[[(2.0075892434439346, 2.104213948679329), (0.007454346590403137, 2.1038077136586733), (0.0010269039311647165, 1.804469854173282), (2.006920996794566, 1.808473645477598)], [(2.0082366062365162, 0.30097821889772913), (0.0008125177493239744, 0.3003534729486221), (0.00299654933193243, 0.00430731065040721), (2.0019490977612384, 0.0056249835725773)]]timestamp position0 velocity0 radius0 heading0 goal pref_speed theta position1 velocity1 radius1 heading1 position2 velocity2 radius2 heading2 position3 velocity3 radius3 heading3 position4 velocity4 radius4 heading4 position5 velocity5 radius5 heading5 position6 velocity6 radius6 heading6 
0.25 (1.197936773300171,0.9630993604660034) (0.11028650403022766,0.011194366961717606) 0.2199999988079071 0.03619863419290442 (5.57480496860919,0.9603007229469835) 2.0 0.10115615338554487 (2.240842580795288,0.40246328711509705) (0.1431509554386139,-0.04970612749457359) 0.12527471780776978 0.2986724341545399 (2.3827314376831055,0.8259486556053162) (0.11338212341070175,-0.03468148037791252) 0.1586906760931015 -0.20271423525056328 (2.253755569458008,1.1639671325683594) (-0.18807046115398407,-0.022428251802921295) 0.18473780155181885 -0.17793033935742988 (2.3218040466308594,1.626549482345581) (0.3491300940513611,0.09811851382255554) 0.19806556403636932 0.23145983981192386 (1.1962526247356597,1.8068555406183828) (0,0) 1e-07 0.03619863419290442 (1.198142915595429,0.3007261033858511) (0,0) 1e-07 0.03619863419290442 
0.5 (1.219672441482544,0.9653799533843994) (0.08694290369749069,0.009122411720454693) 0.2199999988079071 0.03619863419290442 (5.57480496860919,0.9603007229469835) 2.0 0.10454165068150044 (2.276630401611328,0.39003676176071167) (0.1431509405374527,-0.04970613121986389) 0.12527471780776978 0.2986724341545399 (2.4110770225524902,0.817278265953064) (0.11338211596012115,-0.03468147665262222) 0.1586906760931015 -0.20271423525056328 (2.2643935680389404,1.1824103593826294) (0.04255227744579315,0.07377276569604874) 0.18473780155181885 -0.17793033935742988 (2.4090864658355713,1.6510790586471558) (0.3491300940513611,0.09811851382255554) 0.19806556403636932 0.23145983981192386 (1.2179927583976535,1.8068989342144954) (0,0) 1e-07 0.03619863419290442 (1.2198792914334233,0.30073286813119365) (0,0) 1e-07 0.03619863419290442 
0.75 (1.2509088516235352,0.9687643051147461) (0.1249457597732544,0.013537390157580376) 0.2199999988079071 0.03619863419290442 (5.57480496860919,0.9603007229469835) 2.0 0.10792514197895955 (2.312418222427368,0.3776102364063263) (0.1431509554386139,-0.04970614239573479) 0.12527471780776978 0.2986724341545399 (2.439422607421875,0.8086078763008118) (0.11338211596012115,-0.03468147665262222) 0.1586906760931015 -0.20271423525056328 (2.314183235168457,1.2026737928390503) (0.19915880262851715,0.08105360716581345) 0.18473780155181885 -0.17793033935742988 (2.496368885040283,1.6756086349487305) (0.3491300940513611,0.09811851382255554) 0.19806556403636932 0.23145983981192386 (1.2492357992753036,1.8069612957398777) (0,0) 1e-07 0.03619863419290442 (1.2511167518190958,0.30074258978241236) (0,0) 1e-07 0.03619863419290442 
1.0 (1.2802186012268066,0.9719491600990295) (0.11723911762237549,0.012739501893520355) 0.2199999988079071 0.03619863419290442 (5.57480496860919,0.9603007229469835) 2.0 0.10823787857819238 (2.348206043243408,0.3651837110519409) (0.1431509405374527,-0.04970614239573479) 0.12527471780776978 0.2986724341545399 (2.4677681922912598,0.7999374866485596) (0.11338211596012115,-0.03468147665262222) 0.1586906760931015 -0.20271423525056328 (2.367724657058716,1.2165120840072632) (0.21416544914245605,0.05535326153039932) 0.18473780155181885 -0.17793033935742988 (2.583651304244995,1.7001382112503052) (0.3491300940513611,0.09811852872371674) 0.19806556403636932 0.23145983981192386 (1.2785517890945788,1.8070198108457018) (0,0) 1e-07 0.03619863419290442 (1.2804274897667411,0.3007517118034657) (0,0) 1e-07 0.03619863419290442 
1.25 (1.311033844947815,0.9753151535987854) (0.12326092272996902,0.013463953509926796) 0.2199999988079071 0.03619863419290442 (5.57480496860919,0.9603007229469835) 2.0 0.10879997502439763 (2.3839938640594482,0.35275718569755554) (0.1431509405374527,-0.049706146121025085) 0.12527471780776978 0.2986724341545399 (2.4961137771606445,0.7912670969963074) (0.11338212341070175,-0.03468147665262222) 0.1586906760931015 -0.20271423525056328 (2.4212660789489746,1.230350375175476) (0.21416544914245605,0.05535326898097992) 0.18473780155181885 -0.17793033935742988 (2.670933723449707,1.7246677875518799) (0.3491300940513611,0.09811853617429733) 0.19806556403636932 0.23145983981192386 (1.3093736285870687,1.8070813316475138) (0,0) 1e-07 0.03619863419290442 (1.3112437780598172,0.30076130237846577) (0,0) 1e-07 0.03619863419290442 
1.5 (1.3420450687408447,0.9787148833274841) (0.12404488772153854,0.013598984107375145) 0.2199999988079071 0.03619863419290442 (5.57480496860919,0.9603007229469835) 2.0 0.1091934820399893 (2.4197816848754883,0.34033066034317017) (0.1431509405374527,-0.04970615357160568) 0.12527471780776978 0.2986724341545399 (2.5244593620300293,0.7825967073440552) (0.11338212341070175,-0.03468147665262222) 0.1586906760931015 -0.20271423525056328 (2.4748075008392334,1.244188666343689) (0.21416543424129486,0.05535326898097992) 0.18473780155181885 -0.17793033935742988 (2.758216142654419,1.7491973638534546) (0.3491300940513611,0.09811853617429733) 0.19806556403636932 0.23145983981192386 (1.340391514708479,1.8071432437610064) (0,0) 1e-07 0.03619863419290442 (1.342256056905244,0.30077095394919884) (0,0) 1e-07 0.03619863419290442 
1.75 (1.3731954097747803,0.9821447730064392) (0.1246013343334198,0.013719613663852215) 0.2199999988079071 0.03619863419290442 (5.57480496860919,0.9603007229469835) 2.0 0.10966631318741986 (2.4555695056915283,0.3279041051864624) (0.1431509554386139,-0.04970616474747658) 0.12527471780776978 0.2986724341545399 (2.552804946899414,0.773926317691803) (0.11338211596012115,-0.03468147665262222) 0.1586906760931015 -0.20271423525056328 (2.528348922729492,1.2580269575119019) (0.21416543424129486,0.055353280156850815) 0.18473780155181885 -0.17793033935742988 (2.845498561859131,1.7737269401550293) (0.3491300642490387,0.09811853617429733) 0.19806556403636932 0.23145983981192386 (1.3715485777159668,1.8072054336734156) (0,0) 1e-07 0.03619863419290442 (1.3734074623644124,0.30078064881859945) (0,0) 1e-07 0.03619863419290442 
2.0 (1.403577208518982,0.985531747341156) (0.12152715027332306,0.013547896407544613) 0.2199999988079071 0.03619863419290442 (5.57480496860919,0.9603007229469835) 2.0 0.11102200055086317 (2.4913573265075684,0.31547755002975464) (0.1431509256362915,-0.04970616474747658) 0.12527471780776978 0.2986724341545399 (2.581150531768799,0.7652559280395508) (0.11338211596012115,-0.034681472927331924) 0.1586906760931015 -0.20271423525056328 (2.581890344619751,1.2718652486801147) (0.21416543424129486,0.05535328760743141) 0.18473780155181885 -0.17793033935742988 (2.9327809810638428,1.7982566356658936) (0.3491300642490387,0.09811854362487793) 0.19806556403636932 0.23145983981192386 (1.4019370158363773,1.8072660894003212) (0,0) 1e-07 0.03619863419290442 (1.4037903122522704,0.3007901044998871) (0,0) 1e-07 0.03619863419290442 
2.25 (1.4355114698410034,0.9890866875648499) (0.1277369111776352,0.014219765551388264) 0.2199999988079071 0.03619863419290442 (5.57480496860919,0.9603007229469835) 2.0 0.11086427395073002 (2.5271451473236084,0.3030509948730469) (0.1431509256362915,-0.04970616474747658) 0.12527471780776978 0.2986724341545399 (2.6094961166381836,0.7565855383872986) (0.11338211596012115,-0.034681472927331924) 0.1586906760931015 -0.20271423525056328 (2.6354317665100098,1.2857035398483276) (0.21416541934013367,0.05535328760743141) 0.18473780155181885 -0.17793033935742988 (3.0200634002685547,1.8227862119674683) (0.34913012385368347,0.09811853617429733) 0.19806556403636932 0.23145983981192386 (1.433878245610328,1.8073298445200323) (0,0) 1e-07 0.03619863419290442 (1.4357256768415385,0.30080004335126126) (0,0) 1e-07 0.03619863419290442 
2.5 (1.4666507244110107,0.9925214052200317) (0.1245572417974472,0.013738907873630524) 0.2199999988079071 0.03619863419290442 (5.57480496860919,0.9603007229469835) 2.0 0.10985786671082266 (2.5629329681396484,0.2906244397163391) (0.1431509256362915,-0.04970616474747658) 0.12527471780776978 0.2986724341545399 (2.6378417015075684,0.7479151487350464) (0.11338211596012115,-0.034681472927331924) 0.1586906760931015 -0.20271423525056328 (2.6889731884002686,1.2995418310165405) (0.21416543424129486,0.055353302508592606) 0.18473780155181885 -0.17793033935742988 (3.1073458194732666,1.847315788269043) (0.3491300940513611,0.09811853617429733) 0.19806556403636932 0.23145983981192386 (1.4650242318347229,1.807392012323035) (0,0) 1e-07 0.03619863419290442 (1.466865997340404,0.3008097347708258) (0,0) 1e-07 0.03619863419290442 
