[[(2.0064744719410026, 2.101604497819959), (0.00038509604584085035, 2.1064656350411526), (0.0005446423300984971, 1.8079492627411193), (2.007846911196081, 1.8001999580859622)], [(2.0021420776889833, 0.30221852059434323), (0.004522861271521401, 0.3030903707812568), (0.0009300800115368768, 0.009711411586767048), (2.000973009133666, 0.00019773213988619754)]]timestamp position0 velocity0 radius0 heading0 goal pref_speed theta position1 velocity1 radius1 heading1 position2 velocity2 radius2 heading2 position3 velocity3 radius3 heading3 position4 velocity4 radius4 heading4 position5 velocity5 radius5 heading5 position6 velocity6 radius6 heading6 
0.25 (1.2475907802581787,0.9874434471130371) (0.21381336450576782,0.025865081697702408) 0.2199999988079071 0.1458798393392846 (5.4010889949477,0.9809771512762848) 2.0 0.12038541042027419 (2.275648355484009,0.49857690930366516) (0.23874640464782715,-0.10477908700704575) 0.15635640919208527 0.35764088938443117 (2.3307669162750244,0.7983084917068481) (0.329792857170105,0.010984763503074646) 0.14137858152389526 -0.10781594814733148 (2.2284040451049805,1.2233421802520752) (0.05555596947669983,-0.004914712160825729) 0.1963244080543518 0.027546156738505467 (2.469188690185547,1.7195591926574707) (0.37692877650260925,0.10693927854299545) 0.16506817936897278 -0.36652612026507486 (1.2507397568761536,1.803122813346191) (0,0) 1e-07 0.1458798393392846 (1.2472918613030408,0.30254797092043095) (0,0) 1e-07 0.1458798393392846 
0.5 (1.260725498199463,0.9930035471916199) (0.05253889784216881,0.022240472957491875) 0.2199999988079071 0.1458798393392846 (5.4010889949477,0.9809771512762848) 2.0 0.40044207839054075 (2.3353350162506104,0.472382128238678) (0.23874640464782715,-0.10477908700704575) 0.15635640919208527 0.35764088938443117 (2.4117202758789062,0.7824400067329407) (0.323813259601593,-0.06347398459911346) 0.14137858152389526 -0.10781594814733148 (2.2807657718658447,1.2437976598739624) (0.20944710075855255,0.0818217322230339) 0.1963244080543518 0.027546156738505467 (2.5634207725524902,1.7462940216064453) (0.37692877650260925,0.10693927854299545) 0.16506817936897278 -0.36652612026507486 (1.2638528142989371,1.8030721896416768) (0,0) 1e-07 0.1458798393392846 (1.260424150066994,0.30254223940347347) (0,0) 1e-07 0.1458798393392846 
0.75 (1.2858659029006958,1.0030503273010254) (0.10056152194738388,0.04018733650445938) 0.2199999988079071 0.1458798393392846 (5.4010889949477,0.9809771512762848) 2.0 0.38018681773677865 (2.395021677017212,0.4461873471736908) (0.23874640464782715,-0.10477909445762634) 0.15635640919208527 0.35764088938443117 (2.4898416996002197,0.7559394240379333) (0.3124859035015106,-0.10600242763757706) 0.14137858152389526 -0.10781594814733148 (2.3343207836151123,1.2730591297149658) (0.21422024071216583,0.11704608798027039) 0.1963244080543518 0.027546156738505467 (2.6576528549194336,1.77302885055542) (0.37692877650260925,0.10693927109241486) 0.16506817936897278 -0.36652612026507486 (1.2889540587273127,1.8029752848589164) (0,0) 1e-07 0.1458798393392846 (1.2855601651169566,0.3025312689245957) (0,0) 1e-07 0.1458798393392846 
1.0 (1.3075417280197144,1.0157135725021362) (0.08670316636562347,0.050652988255023956) 0.2199999988079071 0.1458798393392846 (5.4010889949477,0.9809771512762848) 2.0 0.5287294222842217 (2.4547083377838135,0.4199925661087036) (0.23874638974666595,-0.10477909445762634) 0.15635640919208527 0.35764088938443117 (2.565758228302002,0.7236605286598206) (0.3036661744117737,-0.1291155219078064) 0.14137858152389526 -0.10781594814733148 (2.38787579536438,1.3023205995559692) (0.21422024071216583,0.11704610288143158) 0.1963244080543518 0.027546156738505467 (2.751884937286377,1.7997636795043945) (0.37692880630493164,0.10693925619125366) 0.16506817936897278 -0.36652612026507486 (1.3105806743465902,1.802891794078433) (0,0) 1e-07 0.1458798393392846 (1.3072304593027213,0.3025218110409905) (0,0) 1e-07 0.1458798393392846 
1.25 (1.3274503946304321,1.0294784307479858) (0.07963467389345169,0.05505949258804321) 0.2199999988079071 0.1458798393392846 (5.4010889949477,0.9809771512762848) 2.0 0.6049314745896825 (2.514394998550415,0.39379778504371643) (0.23874640464782715,-0.10477910935878754) 0.15635640919208527 0.35764088938443117 (2.6402363777160645,0.6881887912750244) (0.2979128062725067,-0.14188706874847412) 0.14137858152389526 -0.10781594814733148 (2.4414308071136475,1.3315820693969727) (0.21422024071216583,0.11704610288143158) 0.1963244080543518 0.027546156738505467 (2.8461170196533203,1.8264985084533691) (0.37692880630493164,0.10693925619125366) 0.16506817936897278 -0.36652612026507486 (1.3304359050182524,1.8028151418303586) (0,0) 1e-07 0.1458798393392846 (1.32713311452379,0.30251312463392555) (0,0) 1e-07 0.1458798393392846 
1.5 (1.3460264205932617,1.0430103540420532) (0.07430431991815567,0.05412772297859192) 0.2199999988079071 0.1458798393392846 (5.4010889949477,0.9809771512762848) 2.0 0.6295723717065287 (2.5740816593170166,0.36760300397872925) (0.23874640464782715,-0.10477911680936813) 0.15635640919208527 0.35764088938443117 (2.71382737159729,0.6509110927581787) (0.2943636178970337,-0.1491108238697052) 0.14137858152389526 -0.10781594814733148 (2.494985818862915,1.360843539237976) (0.21422024071216583,0.11704611033201218) 0.1963244080543518 0.027546156738505467 (2.9403491020202637,1.8532333374023438) (0.37692880630493164,0.10693923383951187) 0.16506817936897278 -0.36652612026507486 (1.34895941414851,1.8027436307690903) (0,0) 1e-07 0.1458798393392846 (1.3457032310140074,0.30250501980623873) (0,0) 1e-07 0.1458798393392846 
1.75 (1.364362359046936,1.0562500953674316) (0.07334364205598831,0.05295879393815994) 0.2199999988079071 0.1458798393392846 (5.4010889949477,0.9809771512762848) 2.0 0.6253809624492256 (2.633768320083618,0.34140822291374207) (0.23874638974666595,-0.10477911680936813) 0.15635640919208527 0.35764088938443117 (2.7868781089782715,0.6125858426094055) (0.29220330715179443,-0.15330106019973755) 0.14137858152389526 -0.10781594814733148 (2.5485408306121826,1.3901050090789795) (0.21422022581100464,0.11704611033201218) 0.1963244080543518 0.027546156738505467 (3.034581422805786,1.8799681663513184) (0.37692883610725403,0.10693921893835068) 0.16506817936897278 -0.36652612026507486 (1.3672439673161074,1.802673042210916) (0,0) 1e-07 0.1458798393392846 (1.3640333875620305,0.3024970197077809) (0,0) 1e-07 0.1458798393392846 
2.0 (1.3822946548461914,1.0690399408340454) (0.07172907143831253,0.05115942656993866) 0.2199999988079071 0.1458798393392846 (5.4010889949477,0.9809771512762848) 2.0 0.6195510156386717 (2.6934549808502197,0.3152134418487549) (0.23874638974666595,-0.10477913171052933) 0.15635640919208527 0.35764088938443117 (2.8595972061157227,0.5736348628997803) (0.29087647795677185,-0.15580390393733978) 0.14137858152389526 -0.10781594814733148 (2.60209584236145,1.4193665981292725) (0.21422022581100464,0.11704611778259277) 0.1963244080543518 0.027546156738505467 (3.1288137435913086,1.906702995300293) (0.37692880630493164,0.10693921893835068) 0.16506817936897278 -0.36652612026507486 (1.3851266206677293,1.8026040052098558) (0,0) 1e-07 0.1458798393392846 (1.3819600978871178,0.30248919569126204) (0,0) 1e-07 0.1458798393392846 
2.25 (1.3991559743881226,1.0807172060012817) (0.06744509935379028,0.04670929163694382) 0.2199999988079071 0.1458798393392846 (5.4010889949477,0.9809771512762848) 2.0 0.6057103297150805 (2.7531416416168213,0.2890186607837677) (0.23874638974666595,-0.10477913171052933) 0.15635640919208527 0.35764088938443117 (2.9321069717407227,0.5342956185340881) (0.2900392413139343,-0.15735700726509094) 0.14137858152389526 -0.10781594814733148 (2.6556508541107178,1.4486280679702759) (0.21422024071216583,0.11704610288143158) 0.1963244080543518 0.027546156738505467 (3.223045825958252,1.9334378242492676) (0.37692877650260925,0.10693921893835068) 0.16506817936897278 -0.36652612026507486 (1.4019426088390663,1.8025390861304333) (0,0) 1e-07 0.1458798393392846 (1.3988163177384934,0.3024818388845657) (0,0) 1e-07 0.1458798393392846 
2.5 (1.4166920185089111,1.0930736064910889) (0.07014399021863937,0.0494253933429718) 0.2199999988079071 0.1458798393392846 (5.4010889949477,0.9809771512762848) 2.0 0.6138250065815175 (2.812828302383423,0.2628238797187805) (0.23874637484550476,-0.10477913916110992) 0.15635640919208527 0.35764088938443117 (3.0044779777526855,0.49470165371894836) (0.2894841432571411,-0.1583758443593979) 0.14137858152389526 -0.10781594814733148 (2.7092058658599854,1.4778895378112793) (0.21422024071216583,0.11704611033201218) 0.1963244080543518 0.027546156738505467 (3.3172779083251953,1.9601726531982422) (0.37692877650260925,0.10693919658660889) 0.16506817936897278 -0.36652612026507486 (1.4194306897318922,1.8024715723988074) (0,0) 1e-07 0.1458798393392846 (1.4163469656352916,0.3024741877273682) (0,0) 1e-07 0.1458798393392846 
