[[(2.0052316568851083, 2.1091920529111285), (0.004450282417403123, 2.103940884049489), (0.006776456714932772, 1.8045939733556653), (2.006690735140423, 1.800436207987611)], [(2.005523229919353, 0.30193020954715116), (0.0045349088603188845, 0.3034660653974985), (0.00987612605773531, 0.006823467256980566), (2.0064134492888432, 0.005325092425095462)]]timestamp position0 velocity0 radius0 heading0 goal pref_speed theta position1 velocity1 radius1 heading1 position2 velocity2 radius2 heading2 position3 velocity3 radius3 heading3 position4 velocity4 radius4 heading4 position5 velocity5 radius5 heading5 position6 velocity6 radius6 heading6 
0.25 (1.095503330230713,0.9265261888504028) (0.22251859307289124,0.027576329186558723) 0.2199999988079071 -0.16632337820392898 (5.675206185213053,0.9196320851863001) 2.0 0.12329954706769695 (2.3583693504333496,0.4897872805595398) (0.22338669002056122,-0.05616754665970802) 0.12871964275836945 -0.3402070471806007 (2.284484624862671,0.9301278591156006) (0.06146284565329552,-0.011419454589486122) 0.14018575847148895 -0.24167582772559867 (2.4392056465148926,1.2613953351974487) (0.2876567244529724,0.037189219146966934) 0.12211037427186966 -0.04486515691755194 (2.423492431640625,1.5940089225769043) (0.3749511241912842,0.11746923625469208) 0.1664547175168991 0.3221921336585516 (1.097324094902955,1.8023267555797908) (0,0) 1e-07 -0.16632337820392898 (1.0950244588436262,0.30262906163417913) (0,0) 1e-07 -0.16632337820392898 
0.5 (1.1323373317718506,0.9378960132598877) (0.147335946559906,0.045479267835617065) 0.2199999988079071 -0.16632337820392898 (5.675206185213053,0.9196320851863001) 2.0 0.2993985211389771 (2.4142160415649414,0.47574537992477417) (0.22338669002056122,-0.05616754665970802) 0.12871964275836945 -0.3402070471806007 (2.3292794227600098,0.9316268563270569) (0.1791790872812271,0.005996055901050568) 0.14018575847148895 -0.24167582772559867 (2.5071873664855957,1.2866257429122925) (0.2719268500804901,0.10092177987098694) 0.12211037427186966 -0.04486515691755194 (2.517230272293091,1.6233762502670288) (0.3749511241912842,0.11746923625469208) 0.1664547175168991 0.3221921336585516 (1.1341342998016246,1.8022502282022077) (0,0) 1e-07 -0.16632337820392898 (1.131849711796687,0.3026007964616175) (0,0) 1e-07 -0.16632337820392898 
0.75 (1.169197678565979,0.9533199071884155) (0.14744141697883606,0.061695538461208344) 0.2199999988079071 -0.16632337820392898 (5.675206185213053,0.9196320851863001) 2.0 0.39630205072481944 (2.470062732696533,0.46170347929000854) (0.22338669002056122,-0.056167542934417725) 0.12871964275836945 -0.3402070471806007 (2.3981854915618896,0.9277662634849548) (0.27562448382377625,-0.015442460775375366) 0.14018575847148895 -0.24167582772559867 (2.575169086456299,1.3118561506271362) (0.2719268500804901,0.10092179477214813) 0.12211037427186966 -0.04486515691755194 (2.6109681129455566,1.6527435779571533) (0.3749511241912842,0.11746923625469208) 0.1664547175168991 0.3221921336585516 (1.1709624215796792,1.802173663575938) (0,0) 1e-07 -0.16632337820392898 (1.168698198293534,0.3025725134561812) (0,0) 1e-07 -0.16632337820392898 
1.0 (1.1991584300994873,0.9695894122123718) (0.11984283477067947,0.06507795304059982) 0.2199999988079071 -0.16632337820392898 (5.675206185213053,0.9196320851863001) 2.0 0.4974742756107561 (2.525909423828125,0.4476615786552429) (0.2233867049217224,-0.05616754665970802) 0.12871964275836945 -0.3402070471806007 (2.465649127960205,0.9132193922996521) (0.26985466480255127,-0.058187492191791534) 0.14018575847148895 -0.24167582772559867 (2.643150806427002,1.33708655834198) (0.2719269096851349,0.10092180967330933) 0.12211037427186966 -0.04486515691755194 (2.7047059535980225,1.6821109056472778) (0.3749511241912842,0.11746923625469208) 0.1664547175168991 0.3221921336585516 (1.2008892199238745,1.8021114466064037) (0,0) 1e-07 -0.16632337820392898 (1.1986464445472653,0.30254952672071034) (0,0) 1e-07 -0.16632337820392898 
1.25 (1.2338507175445557,0.9864134192466736) (0.13876894116401672,0.06729593127965927) 0.2199999988079071 -0.16632337820392898 (5.675206185213053,0.9196320851863001) 2.0 0.4515348922259534 (2.581756114959717,0.4336196780204773) (0.22338669002056122,-0.056167542934417725) 0.12871964275836945 -0.3402070471806007 (2.531745433807373,0.8933637738227844) (0.2643849849700928,-0.07942241430282593) 0.14018575847148895 -0.24167582772559867 (2.711132526397705,1.3623169660568237) (0.2719268798828125,0.10092181712388992) 0.12211037427186966 -0.04486515691755194 (2.7984437942504883,1.7114782333374023) (0.3749510943889618,0.11746922880411148) 0.1664547175168991 0.3221921336585516 (1.2355463809403802,1.8020393953463152) (0,0) 1e-07 -0.16632337820392898 (1.2333257983180548,0.3025229086301325) (0,0) 1e-07 -0.16632337820392898 
1.5 (1.2598962783813477,1.0013115406036377) (0.10418234765529633,0.059592388570308685) 0.2199999988079071 -0.16632337820392898 (5.675206185213053,0.9196320851863001) 2.0 0.5195773973297296 (2.6376028060913086,0.41957780718803406) (0.22338669002056122,-0.056167539209127426) 0.12871964275836945 -0.3402070471806007 (2.5970096588134766,0.8709239363670349) (0.26105666160583496,-0.08975937217473984) 0.14018575847148895 -0.24167582772559867 (2.779114246368408,1.3875473737716675) (0.2719268500804901,0.10092181712388992) 0.12211037427186966 -0.04486515691755194 (2.892181634902954,1.7408455610275269) (0.3749511241912842,0.11746923625469208) 0.1664547175168991 0.3221921336585516 (1.2615608565653589,1.8019853119853488) (0,0) 1e-07 -0.16632337820392898 (1.259359908784667,0.3025029261842342) (0,0) 1e-07 -0.16632337820392898 
1.75 (1.2814503908157349,1.0144925117492676) (0.0862162858247757,0.05272388458251953) 0.2199999988079071 -0.16632337820392898 (5.675206185213053,0.9196320851863001) 2.0 0.5488546662350825 (2.6934494972229004,0.4055359363555908) (0.22338669002056122,-0.056167539209127426) 0.12871964275836945 -0.3402070471806007 (2.661846399307251,0.8472777605056763) (0.2593473792076111,-0.0945846289396286) 0.14018575847148895 -0.24167582772559867 (2.8470959663391113,1.4127777814865112) (0.2719268500804901,0.10092184692621231) 0.12211037427186966 -0.04486515691755194 (2.98591947555542,1.7702128887176514) (0.3749511241912842,0.11746923625469208) 0.1664547175168991 0.3221921336585516 (1.283087473091865,1.8019405587568476) (0,0) 1e-07 -0.16632337820392898 (1.2809038914904445,0.30248639012976036) (0,0) 1e-07 -0.16632337820392898 
2.0 (1.2978644371032715,1.0249691009521484) (0.06565631926059723,0.04190632700920105) 0.2199999988079071 -0.16632337820392898 (5.675206185213053,0.9196320851863001) 2.0 0.5680835011587901 (2.749296188354492,0.3914940357208252) (0.22338669002056122,-0.05616754665970802) 0.12871964275836945 -0.3402070471806007 (2.726494550704956,0.8231207132339478) (0.2585929036140442,-0.09662828594446182) 0.14018575847148895 -0.24167582772559867 (2.9150776863098145,1.438008189201355) (0.2719268500804901,0.10092185437679291) 0.12211037427186966 -0.04486515691755194 (3.0796573162078857,1.7995802164077759) (0.3749511241912842,0.11746922880411148) 0.1664547175168991 0.3221921336585516 (1.2994796679968954,1.8019064798460573) (0,0) 1e-07 -0.16632337820392898 (1.2973098868209818,0.3024737977304725) (0,0) 1e-07 -0.16632337820392898 
2.25 (1.3153901100158691,1.035506010055542) (0.07010281085968018,0.04214783012866974) 0.2199999988079071 -0.16632337820392898 (5.675206185213053,0.9196320851863001) 2.0 0.5413225532823757 (2.805142879486084,0.37745213508605957) (0.2233867049217224,-0.05616754665970802) 0.12871964275836945 -0.3402070471806007 (2.7910804748535156,0.7987977862358093) (0.25834405422210693,-0.09729178994894028) 0.14018575847148895 -0.24167582772559867 (2.9830594062805176,1.4632387161254883) (0.2719268500804901,0.1009218841791153) 0.12211037427186966 -0.04486515691755194 (3.1602158546447754,1.8251909017562866) (0.32223454117774963,0.10244294255971909) 0.1664547175168991 0.3221921336585516 (1.3169833593195897,1.8018700901655698) (0,0) 1e-07 -0.16632337820392898 (1.3148274618232572,0.30246035213972716) (0,0) 1e-07 -0.16632337820392898 
2.5 (1.3408653736114502,1.048932671546936) (0.1019010916352272,0.053706519305706024) 0.2199999988079071 -0.16632337820392898 (5.675206185213053,0.9196320851863001) 2.0 0.485049236791495 (2.860989570617676,0.36341023445129395) (0.22338669002056122,-0.056167542934417725) 0.12871964275836945 -0.3402070471806007 (2.855665445327759,0.774472177028656) (0.2583400011062622,-0.09730250388383865) 0.14018575847148895 -0.24167582772559867 (3.0510411262512207,1.488469123840332) (0.2719268500804901,0.10092185437679291) 0.12211037427186966 -0.04486515691755194 (3.2299890518188477,1.852690577507019) (0.27909231185913086,0.10999881476163864) 0.1664547175168991 0.3221921336585516 (1.342430599278572,1.8018171860715517) (0,0) 1e-07 -0.16632337820392898 (1.3402924048009808,0.30244080655755684) (0,0) 1e-07 -0.16632337820392898 
