[[(2.0096878117552226, 2.100357336475083), (0.007701100720652296, 2.105476745278686), (0.008083490842109983, 1.8013905546665392), (2.0016961946242526, 1.808723794331073)], [(2.007771939163609, 0.30103013783569416), (0.0005328939954915446, 0.3097654715291644), (0.000665166546385887, 0.009073827497138339), (2.006478146918434, 0.0034452273827968185)]]timestamp position0 velocity0 radius0 heading0 goal pref_speed theta position1 velocity1 radius1 heading1 position2 velocity2 radius2 heading2 position3 velocity3 radius3 heading3 position4 velocity4 radius4 heading4 position5 velocity5 radius5 heading5 position6 velocity6 radius6 heading6 
0.25 (1.4139195680618286,0.9793925881385803) (0.1024920865893364,0.011406075209379196) 0.2199999988079071 -0.21848975477840227 (5.89688348386559,0.9765410462766184) 2.0 0.11083133150255557 (2.4642646312713623,0.444373220205307) (0.37507081031799316,-0.07915616035461426) 0.16762830317020416 -0.04928539206730481 (2.2250661849975586,0.7882565855979919) (-0.0791405439376831,-0.033042170107364655) 0.15846817195415497 -0.3700872666708085 (2.218949794769287,1.3110735416412354) (0.007983854040503502,0.012445448897778988) 0.1205139011144638 -0.3366952269575016 (2.388632297515869,1.7058779001235962) (0.32591038942337036,0.06952036917209625) 0.13105276226997375 -0.01917067101808112 (1.4108769773313061,1.8065505442757328) (0,0) 1e-07 -0.21848975477840227 (1.4109786951094347,0.3036273313016997) (0,0) 1e-07 -0.21848975477840227 
0.5 (1.43816339969635,0.9819539189338684) (0.09697521477937698,0.010245256125926971) 0.2199999988079071 -0.21848975477840227 (5.89688348386559,0.9765410462766184) 2.0 0.10525773816047598 (2.558032274246216,0.42458418011665344) (0.3750707805156708,-0.07915614545345306) 0.16762830317020416 -0.04928539206730481 (2.2492947578430176,0.7716660499572754) (0.0969139114022255,-0.06636224687099457) 0.15846817195415497 -0.3700872666708085 (2.2645230293273926,1.3147977590560913) (0.1822931468486786,0.014896739274263382) 0.1205139011144638 -0.3366952269575016 (2.4701099395751953,1.7232580184936523) (0.32591038942337036,0.06952036172151566) 0.13105276226997375 -0.01917067101808112 (1.4351299023296966,1.8066397554405904) (0,0) 1e-07 -0.21848975477840227 (1.4352109211119637,0.30352187471406644) (0,0) 1e-07 -0.21848975477840227 
0.75 (1.4722504615783691,0.9857446551322937) (0.13634806871414185,0.015162855386734009) 0.2199999988079071 -0.21848975477840227 (5.89688348386559,0.9765410462766184) 2.0 0.1107519086042149 (2.6517999172210693,0.4047951400279999) (0.37507081031799316,-0.07915615290403366) 0.16762830317020416 -0.04928539206730481 (2.3083510398864746,0.7478055953979492) (0.23622474074363708,-0.09544182568788528) 0.15846817195415497 -0.3700872666708085 (2.3270373344421387,1.333304524421692) (0.2500576376914978,0.07402718812227249) 0.1205139011144638 -0.3366952269575016 (2.5515875816345215,1.7406381368637085) (0.32591041922569275,0.06952036917209625) 0.13105276226997375 -0.01917067101808112 (1.4692304465380628,1.80676518976537) (0,0) 1e-07 -0.21848975477840227 (1.4692808407764901,0.3033736053198975) (0,0) 1e-07 -0.21848975477840227 
1.0 (1.50602388381958,0.9894798398017883) (0.135093554854393,0.014940708875656128) 0.2199999988079071 -0.21848975477840227 (5.89688348386559,0.9765410462766184) 2.0 0.11014764712975657 (2.745567560195923,0.3850060999393463) (0.37507084012031555,-0.07915614545345306) 0.16762830317020416 -0.04928539206730481 (2.375598907470703,0.7303592562675476) (0.2689913511276245,-0.06978537887334824) 0.15846817195415497 -0.3700872666708085 (2.388277769088745,1.3556691408157349) (0.24496135115623474,0.08945827186107635) 0.1205139011144638 -0.3366952269575016 (2.6330652236938477,1.7580182552337646) (0.32591038942337036,0.06952035427093506) 0.13105276226997375 -0.01917067101808112 (1.5030171510130692,1.8068894696723548) (0,0) 1e-07 -0.21848975477840227 (1.5030373684911218,0.30322669978085365) (0,0) 1e-07 -0.21848975477840227 
1.25 (1.5383316278457642,0.9930872321128845) (0.12923112511634827,0.0144296083599329) 0.2199999988079071 -0.21848975477840227 (5.89688348386559,0.9765410462766184) 2.0 0.1111967921369415 (2.8393352031707764,0.36521705985069275) (0.37507081031799316,-0.07915613800287247) 0.16762830317020416 -0.04928539206730481 (2.4428467750549316,0.712912917137146) (0.2689914107322693,-0.06978539377450943) 0.15846817195415497 -0.3700872666708085 (2.4495182037353516,1.3780337572097778) (0.24496133625507355,0.08945825695991516) 0.1205139011144638 -0.3366952269575016 (2.714542865753174,1.7753983736038208) (0.32591038942337036,0.06952034682035446) 0.13105276226997375 -0.01917067101808112 (1.535337727043107,1.807008356620494) (0,0) 1e-07 -0.21848975477840227 (1.5353288018798688,0.30308617020777157) (0,0) 1e-07 -0.21848975477840227 
1.5 (1.5719934701919556,0.9968370795249939) (0.13464727997779846,0.014999420382082462) 0.2199999988079071 -0.21848975477840227 (5.89688348386559,0.9765410462766184) 2.0 0.11094047548367379 (2.93310284614563,0.3454280197620392) (0.37507081031799316,-0.07915613800287247) 0.16762830317020416 -0.04928539206730481 (2.51009464263916,0.6954665780067444) (0.2689913809299469,-0.06978538632392883) 0.15846817195415497 -0.3700872666708085 (2.510758638381958,1.4003983736038208) (0.24496135115623474,0.08945827186107635) 0.1205139011144638 -0.3366952269575016 (2.7960205078125,1.792778491973877) (0.32591038942337036,0.06952033936977386) 0.13105276226997375 -0.01917067101808112 (1.5690129070670147,1.8071322262995912) (0,0) 1e-07 -0.21848975477840227 (1.5689736880028697,0.30293975052344413) (0,0) 1e-07 -0.21848975477840227 
1.75 (1.6041984558105469,1.0004206895828247) (0.12882012128829956,0.014334611594676971) 0.2199999988079071 -0.21848975477840227 (5.89688348386559,0.9765410462766184) 2.0 0.11082027860047432 (3.0268704891204834,0.3256389796733856) (0.37507084012031555,-0.07915613800287247) 0.16762830317020416 -0.04928539206730481 (2.5773425102233887,0.6780202388763428) (0.2689913809299469,-0.06978539377450943) 0.15846817195415497 -0.3700872666708085 (2.5719990730285645,1.4227629899978638) (0.24496135115623474,0.08945827186107635) 0.1205139011144638 -0.3366952269575016 (2.877498149871826,1.810158610343933) (0.32591038942337036,0.06952033936977386) 0.13105276226997375 -0.01917067101808112 (1.6012306386011241,1.8072507349479054) (0,0) 1e-07 -0.21848975477840227 (1.60116246842653,0.3027996676873398) (0,0) 1e-07 -0.21848975477840227 
2.0 (1.6373727321624756,1.004141926765442) (0.13269707560539246,0.01488503534346819) 0.2199999988079071 -0.21848975477840227 (5.89688348386559,0.9765410462766184) 2.0 0.11170608432493377 (3.120638132095337,0.30584993958473206) (0.37507084012031555,-0.07915613055229187) 0.16762830317020416 -0.04928539206730481 (2.644590377807617,0.6605738997459412) (0.2689913511276245,-0.06978538632392883) 0.15846817195415497 -0.3700872666708085 (2.633239507675171,1.4451276063919067) (0.24496133625507355,0.08945825695991516) 0.1205139011144638 -0.3366952269575016 (2.9589757919311523,1.8275387287139893) (0.32591038942337036,0.06952033936977386) 0.13105276226997375 -0.01917067101808112 (1.6344181539901286,1.807372810817384) (0,0) 1e-07 -0.21848975477840227 (1.6343199222961142,0.3026553692667437) (0,0) 1e-07 -0.21848975477840227 
2.25 (1.6691991090774536,1.0076851844787598) (0.1273052990436554,0.014172947034239769) 0.2199999988079071 -0.21848975477840227 (5.89688348386559,0.9765410462766184) 2.0 0.11087380863018478 (3.2144057750701904,0.2860608994960785) (0.37507084012031555,-0.07915611565113068) 0.16762830317020416 -0.04928539206730481 (2.7118382453918457,0.6431275606155396) (0.2689913809299469,-0.06978539377450943) 0.15846817195415497 -0.3700872666708085 (2.6944799423217773,1.4674922227859497) (0.24496135115623474,0.08945825695991516) 0.1205139011144638 -0.3366952269575016 (3.0404534339904785,1.8449188470840454) (0.32591038942337036,0.06952033191919327) 0.13105276226997375 -0.01917067101808112 (1.6662571335145433,1.8074899262767126) (0,0) 1e-07 -0.21848975477840227 (1.666130276793205,0.3025169333081026) (0,0) 1e-07 -0.21848975477840227 
2.5 (1.7015719413757324,1.0113462209701538) (0.12949156761169434,0.014644311740994453) 0.2199999988079071 -0.21848975477840227 (5.89688348386559,0.9765410462766184) 2.0 0.11261239180444257 (3.308173418045044,0.2662718594074249) (0.37507084012031555,-0.07915610820055008) 0.16762830317020416 -0.04928539206730481 (2.779086112976074,0.6256812214851379) (0.2689913511276245,-0.06978539377450943) 0.15846817195415497 -0.3700872666708085 (2.755720376968384,1.4898568391799927) (0.24496136605739594,0.08945824950933456) 0.1205139011144638 -0.3366952269575016 (3.1219310760498047,1.8622989654541016) (0.32591038942337036,0.06952032446861267) 0.13105276226997375 -0.01917067101808112 (1.6986429942563437,1.807609053365997) (0,0) 1e-07 -0.21848975477840227 (1.6984865637708615,0.30237612149771464) (0,0) 1e-07 -0.21848975477840227 
2.75 (1.7334247827529907,1.014953374862671) (0.1274111568927765,0.014428853057324886) 0.2199999988079071 -0.21848975477840227 (5.89688348386559,0.9765410462766184) 2.0 0.11276595882044191 (3.4019410610198975,0.24648283421993256) (0.37507086992263794,-0.07915610074996948) 0.16762830317020416 -0.04928539206730481 (2.8463339805603027,0.6082348823547363) (0.2689913809299469,-0.06978540867567062) 0.15846817195415497 -0.3700872666708085 (2.8169608116149902,1.5122214555740356) (0.24496135115623474,0.08945824950933456) 0.1205139011144638 -0.3366952269575016 (3.203408718109131,1.8796790838241577) (0.32591041922569275,0.06952031701803207) 0.13105276226997375 -0.01917067101808112 (1.7305086729154018,1.8077262670345478) (0,0) 1e-07 -0.21848975477840227 (1.730323104163553,0.3022375715802819) (0,0) 1e-07 -0.21848975477840227 
