[[(2.008379227683773, 2.1006332487281814), (0.005363218901265062, 2.1097109452854412), (0.003354728485673888, 1.805777144964592), (2.0083279217725014, 1.8093475261679095)], [(2.0033715137334247, 0.305912523343831), (0.006624582897028933, 0.3066109510361245), (0.00012682651059919392, 0.005808764513964721), (2.005007278925553, 0.0005488691027982584)]]timestamp position0 velocity0 radius0 heading0 goal pref_speed theta position1 velocity1 radius1 heading1 position2 velocity2 radius2 heading2 position3 velocity3 radius3 heading3 position4 velocity4 radius4 heading4 position5 velocity5 radius5 heading5 position6 velocity6 radius6 heading6 
0.25 (1.1346691846847534,0.88898104429245) (0.22758163511753082,0.028728751465678215) 0.2199999988079071 -0.01142550644955409 (5.230282849626916,0.881798888047326) 2.0 0.12557073888942316 (2.328298568725586,0.48661723732948303) (0.16103553771972656,-0.14626535773277283) 0.15092076361179352 -0.2811198743225909 (2.4266510009765625,0.8112503290176392) (0.17425790429115295,0.02647527866065502) 0.18966922163963318 0.1400572820331314 (2.457692861557007,1.2485743761062622) (0.3927088677883148,0.05579652637243271) 0.13413847982883453 0.32772348636673154 (2.3594143390655518,1.5827378034591675) (0.16935907304286957,0.04715313762426376) 0.1429423838853836 0.178072292332757 (1.1330330061702847,1.8077888337502306) (0,0) 1e-07 -0.01142550644955409 (1.1344653436655299,0.3062164517594995) (0,0) 1e-07 -0.01142550644955409 
0.5 (1.154801845550537,0.891101062297821) (0.08053074777126312,0.008480073884129524) 0.2199999988079071 -0.01142550644955409 (5.230282849626916,0.881798888047326) 2.0 0.10491566306007925 (2.3795082569122314,0.4683021605014801) (0.20483876764774323,-0.0732603371143341) 0.15092076361179352 -0.2811198743225909 (2.468815326690674,0.7984505295753479) (0.16865767538547516,-0.05119914188981056) 0.18966922163963318 0.1400572820331314 (2.5513532161712646,1.2811483144760132) (0.3746418058872223,0.1302957981824875) 0.13413847982883453 0.32772348636673154 (2.401754140853882,1.5945260524749756) (0.16935905814170837,0.04715314134955406) 0.1429423838853836 0.178072292332757 (1.153169378430008,1.8078246918481145) (0,0) 1e-07 -0.01142550644955409 (1.1545972605224226,0.3062094099616559) (0,0) 1e-07 -0.01142550644955409 
0.75 (1.188076376914978,0.8947877287864685) (0.13309791684150696,0.014746716246008873) 0.2199999988079071 -0.01142550644955409 (5.230282849626916,0.881798888047326) 2.0 0.11034593805553422 (2.430933713912964,0.4506020247936249) (0.20570193231105804,-0.07080051302909851) 0.15092076361179352 -0.2811198743225909 (2.510979652404785,0.7856507301330566) (0.16865769028663635,-0.051199138164520264) 0.18966922163963318 0.1400572820331314 (2.6450135707855225,1.3137222528457642) (0.3746418058872223,0.1302957981824875) 0.13413847982883453 0.32772348636673154 (2.444093942642212,1.6063143014907837) (0.16935905814170837,0.04715314880013466) 0.1429423838853836 0.178072292332757 (1.1864503693342558,1.807883957390791) (0,0) 1e-07 -0.01142550644955409 (1.1878704982834964,0.30619777155605443) (0,0) 1e-07 -0.01142550644955409 
1.0 (1.2211461067199707,0.898443877696991) (0.1322789192199707,0.014624662697315216) 0.2199999988079071 -0.01142550644955409 (5.230282849626916,0.881798888047326) 2.0 0.11011209144641854 (2.4823591709136963,0.43290188908576965) (0.20570194721221924,-0.07080051302909851) 0.15092076361179352 -0.2811198743225909 (2.5531439781188965,0.7728509306907654) (0.16865769028663635,-0.05119913071393967) 0.18966922163963318 0.1400572820331314 (2.7386739253997803,1.3462961912155151) (0.3746418058872223,0.1302957981824875) 0.13413847982883453 0.32772348636673154 (2.486433744430542,1.6181025505065918) (0.16935905814170837,0.047153159976005554) 0.1429423838853836 0.178072292332757 (1.219526504984115,1.8079428581348997) (0,0) 1e-07 -0.01142550644955409 (1.2209389451847013,0.3061862047827692) (0,0) 1e-07 -0.01142550644955409 
1.25 (1.2492632865905762,0.90159010887146) (0.11246868968009949,0.012584889307618141) 0.2199999988079071 -0.01142550644955409 (5.230282849626916,0.881798888047326) 2.0 0.11143328628490966 (2.5337846279144287,0.41520175337791443) (0.20570196211338043,-0.07080051302909851) 0.15092076361179352 -0.2811198743225909 (2.595308303833008,0.7600511312484741) (0.16865767538547516,-0.05119912698864937) 0.18966922163963318 0.1400572820331314 (2.832334280014038,1.3788701295852661) (0.3746418058872223,0.1302957981824875) 0.13413847982883453 0.32772348636673154 (2.528773546218872,1.6298907995224) (0.16935904324054718,0.04715316370129585) 0.1429423838853836 0.178072292332757 (1.2476491983651086,1.807992937974456) (0,0) 1e-07 -0.01142550644955409 (1.2490550211178748,0.3061763702635685) (0,0) 1e-07 -0.01142550644955409 
1.5 (1.2784684896469116,0.9048547744750977) (0.11682082712650299,0.013058656826615334) 0.2199999988079071 -0.01142550644955409 (5.230282849626916,0.881798888047326) 2.0 0.11132149549308487 (2.585210084915161,0.3975016176700592) (0.20570196211338043,-0.07080051302909851) 0.15092076361179352 -0.2811198743225909 (2.637472629547119,0.7472513318061829) (0.16865769028663635,-0.05119911953806877) 0.18966922163963318 0.1400572820331314 (2.925994634628296,1.411444067955017) (0.3746418058872223,0.1302957832813263) 0.13413847982883453 0.32772348636673154 (2.571113348007202,1.641679048538208) (0.16935905814170837,0.047153178602457047) 0.1429423838853836 0.178072292332757 (1.2768601223845248,1.8080449556943934) (0,0) 1e-07 -0.01142550644955409 (1.278259078677342,0.30616615518713) (0,0) 1e-07 -0.01142550644955409 
1.75 (1.3069928884506226,0.9080356359481812) (0.11409753561019897,0.012723332270979881) 0.2199999988079071 -0.01142550644955409 (5.230282849626916,0.881798888047326) 2.0 0.11105396448827443 (2.6366355419158936,0.379801481962204) (0.20570194721221924,-0.07080050557851791) 0.15092076361179352 -0.2811198743225909 (2.6796369552612305,0.7344515323638916) (0.16865770518779755,-0.05119911953806877) 0.18966922163963318 0.1400572820331314 (3.0196549892425537,1.444018006324768) (0.3746418058872223,0.1302957534790039) 0.13413847982883453 0.32772348636673154 (2.6134531497955322,1.6534672975540161) (0.16935905814170837,0.04715318977832794) 0.1429423838853836 0.178072292332757 (1.3053900950754331,1.8080957608016974) (0,0) 1e-07 -0.01142550644955409 (1.306782361380718,0.3061561782340131) (0,0) 1e-07 -0.01142550644955409 
2.0 (1.335386037826538,0.9112191796302795) (0.11357273161411285,0.012734243646264076) 0.2199999988079071 -0.01142550644955409 (5.230282849626916,0.881798888047326) 2.0 0.11165777391786152 (2.688060998916626,0.36210134625434875) (0.20570196211338043,-0.07080050557851791) 0.15092076361179352 -0.2811198743225909 (2.721801280975342,0.7216517329216003) (0.16865769028663635,-0.051199112087488174) 0.18966922163963318 0.1400572820331314 (3.1133153438568115,1.476591944694519) (0.3746418058872223,0.1302957385778427) 0.13413847982883453 0.32772348636673154 (2.6557929515838623,1.6652555465698242) (0.16935905814170837,0.04715319350361824) 0.1429423838853836 0.178072292332757 (1.3337888235311146,1.8081463321941809) (0,0) 1e-07 -0.01142550644955409 (1.335174393734166,0.30614624719000855) (0,0) 1e-07 -0.01142550644955409 
2.25 (1.3637349605560303,0.914412796497345) (0.1133955642580986,0.012774361297488213) 0.2199999988079071 -0.01142550644955409 (5.230282849626916,0.881798888047326) 2.0 0.11218014167508635 (2.7394864559173584,0.34440121054649353) (0.20570196211338043,-0.07080049812793732) 0.15092076361179352 -0.2811198743225909 (2.763965606689453,0.7088519334793091) (0.16865769028663635,-0.05119910091161728) 0.18966922163963318 0.1400572820331314 (3.2069756984710693,1.50916588306427) (0.3746418356895447,0.1302957385778427) 0.13413847982883453 0.32772348636673154 (2.6981327533721924,1.6770437955856323) (0.16935904324054718,0.047153204679489136) 0.1429423838853836 0.178072292332757 (1.3621433434185133,1.8081968248617009) (0,0) 1e-07 -0.01142550644955409 (1.3635221959231756,0.3061363316169538) (0,0) 1e-07 -0.01142550644955409 
2.5 (1.3918120861053467,0.9175755977630615) (0.112308569252491,0.01265120692551136) 0.2199999988079071 -0.01142550644955409 (5.230282849626916,0.881798888047326) 2.0 0.11217397798131594 (2.790911912918091,0.3267010748386383) (0.20570196211338043,-0.07080049067735672) 0.15092076361179352 -0.2811198743225909 (2.8061299324035645,0.6960521340370178) (0.16865769028663635,-0.05119910091161728) 0.18966922163963318 0.1400572820331314 (3.300636053085327,1.541739821434021) (0.3746418356895447,0.13029570877552032) 0.13413847982883453 0.32772348636673154 (2.7404725551605225,1.6888320446014404) (0.16935904324054718,0.04715321958065033) 0.1429423838853836 0.178072292332757 (1.3902260121125387,1.8082468334267927) (0,0) 1e-07 -0.01142550644955409 (1.3915982117440286,0.30612651111009054) (0,0) 1e-07 -0.01142550644955409 
2.75 (1.4193174839019775,0.920659065246582) (0.11002179980278015,0.012333963997662067) 0.2199999988079071 -0.01142550644955409 (5.230282849626916,0.881798888047326) 2.0 0.11163861395127567 (2.8423373699188232,0.30900096893310547) (0.20570196211338043,-0.07080048322677612) 0.15092076361179352 -0.2811198743225909 (2.848294258117676,0.6832523345947266) (0.16865770518779755,-0.051199089735746384) 0.18966922163963318 0.1400572820331314 (3.394296407699585,1.574313759803772) (0.3746418356895447,0.13029567897319794) 0.13413847982883453 0.32772348636673154 (2.7828123569488525,1.700620412826538) (0.16935905814170837,0.04715323820710182) 0.1429423838853836 0.178072292332757 (1.4177368135927064,1.808295823632159) (0,0) 1e-07 -0.01142550644955409 (1.4191025276317335,0.30611689057401914) (0,0) 1e-07 -0.01142550644955409 
3.0 (1.446655035018921,0.9237121939659119) (0.10934999585151672,0.012212407775223255) 0.2199999988079071 -0.01142550644955409 (5.230282849626916,0.881798888047326) 2.0 0.1112209458614788 (2.8937628269195557,0.29130083322525024) (0.20570196211338043,-0.07080048322677612) 0.15092076361179352 -0.2811198743225909 (2.890458583831787,0.6704525351524353) (0.16865770518779755,-0.051199086010456085) 0.18966922163963318 0.1400572820331314 (3.4879567623138428,1.606887698173523) (0.37464186549186707,0.13029566407203674) 0.13413847982883453 0.32772348636673154 (2.8251521587371826,1.7124086618423462) (0.16935904324054718,0.04715321958065033) 0.1429423838853836 0.178072292332757 (1.4450797148994814,1.8083445148471822) (0,0) 1e-07 -0.01142550644955409 (1.4464390074722626,0.3061073287441069) (0,0) 1e-07 -0.01142550644955409 
3.25 (1.4739304780960083,0.9267589449882507) (0.10910186171531677,0.01218703668564558) 0.2199999988079071 -0.01142550644955409 (5.230282849626916,0.881798888047326) 2.0 0.1112421383563753 (2.945188283920288,0.2736007273197174) (0.20570196211338043,-0.07080047577619553) 0.15092076361179352 -0.2811198743225909 (2.9326229095458984,0.6576527953147888) (0.16865769028663635,-0.05119907483458519) 0.18966922163963318 0.1400572820331314 (3.5816171169281006,1.639461636543274) (0.37464186549186707,0.13029560446739197) 0.13413847982883453 0.32772348636673154 (2.8674919605255127,1.7241970300674438) (0.169359028339386,0.04715323820710182) 0.1429423838853836 0.178072292332757 (1.4723604970062238,1.8083930954426592) (0,0) 1e-07 -0.01142550644955409 (1.4737133815113426,0.3060977886377345) (0,0) 1e-07 -0.01142550644955409 
3.5 (1.5011557340621948,0.9298003911972046) (0.10890083014965057,0.012165818363428116) 0.2199999988079071 -0.01142550644955409 (5.230282849626916,0.881798888047326) 2.0 0.11125336243584684 (2.9966137409210205,0.25590062141418457) (0.20570196211338043,-0.07080046832561493) 0.15092076361179352 -0.2811198743225909 (2.9747872352600098,0.6448530554771423) (0.16865769028663635,-0.05119907483458519) 0.18966922163963318 0.1400572820331314 (3.6522793769836426,1.6640371084213257) (0.282649427652359,0.09830173850059509) 0.13413847982883453 0.32772348636673154 (2.9098317623138428,1.735985279083252) (0.16935904324054718,0.047153227031230927) 0.1429423838853836 0.178072292332757 (1.499591082714631,1.8084415866502694) (0,0) 1e-07 -0.01142550644955409 (1.5009375703011945,0.30608826608529816) (0,0) 1e-07 -0.01142550644955409 
3.75 (1.5263127088546753,0.9326062202453613) (0.10062792897224426,0.01122337393462658) 0.2199999988079071 -0.01142550644955409 (5.230282849626916,0.881798888047326) 2.0 0.11107432986142829 (3.048039197921753,0.23820050060749054) (0.20570196211338043,-0.07080047577619553) 0.15092076361179352 -0.2811198743225909 (3.016951560974121,0.6320532560348511) (0.16865770518779755,-0.05119907855987549) 0.18966922163963318 0.1400572820331314 (3.7052762508392334,1.6824686527252197) (0.2119871824979782,0.07372626662254333) 0.13413847982883453 0.32772348636673154 (2.952171564102173,1.7477736473083496) (0.169359028339386,0.04715324193239212) 0.1429423838853836 0.178072292332757 (1.5247529742311805,1.8084863940047078) (0,0) 1e-07 -0.01142550644955409 (1.5260935605852055,0.30607946695308463) (0,0) 1e-07 -0.01142550644955409 
4.0 (1.551297664642334,0.9353994131088257) (0.09993981570005417,0.011172778904438019) 0.2199999988079071 -0.01142550644955409 (5.230282849626916,0.881798888047326) 2.0 0.11133279038369737 (3.0994646549224854,0.2205003798007965) (0.20570196211338043,-0.07080046087503433) 0.15092076361179352 -0.2811198743225909 (3.0591158866882324,0.6192535161972046) (0.16865770518779755,-0.05119906738400459) 0.18966922163963318 0.1400572820331314 (3.745023727416992,1.6962922811508179) (0.1589903086423874,0.05529472231864929) 0.13413847982883453 0.32772348636673154 (2.994511365890503,1.7595618963241577) (0.169359028339386,0.047153230756521225) 0.1429423838853836 0.178072292332757 (1.549742824786425,1.8085308949950425) (0,0) 1e-07 -0.01142550644955409 (1.5510775363053602,0.3060707279886034) (0,0) 1e-07 -0.01142550644955409 
4.25 (1.5758613348007202,0.9381408095359802) (0.09825477004051208,0.010965608060359955) 0.2199999988079071 -0.01142550644955409 (5.230282849626916,0.881798888047326) 2.0 0.11114389898776443 (3.1508901119232178,0.20280025899410248) (0.20570196211338043,-0.07080046087503433) 0.15092076361179352 -0.2811198743225909 (3.1012802124023438,0.6064537763595581) (0.16865770518779755,-0.051199063658714294) 0.18966922163963318 0.1400572820331314 (3.774834394454956,1.7066600322723389) (0.1192428320646286,0.04147109389305115) 0.13413847982883453 0.32772348636673154 (3.036851167678833,1.7713502645492554) (0.16935904324054718,0.047153256833553314) 0.1429423838853836 0.178072292332757 (1.5743112988114765,1.8085746456138274) (0,0) 1e-07 -0.01142550644955409 (1.575640244565285,0.30606213637622554) (0,0) 1e-07 -0.01142550644955409 
4.5 (1.6001123189926147,0.9408451914787292) (0.09700414538383484,0.010817469097673893) 0.2199999988079071 -0.01142550644955409 (5.230282849626916,0.881798888047326) 2.0 0.11105669457769037 (3.20231556892395,0.18510015308856964) (0.20570196211338043,-0.07080044597387314) 0.15092076361179352 -0.2811198743225909 (3.143444538116455,0.5936540365219116) (0.16865769028663635,-0.051199063658714294) 0.18966922163963318 0.1400572820331314 (3.7985241413116455,1.7141815423965454) (0.09475855529308319,0.03008592128753662) 0.13413847982883453 0.32772348636673154 (3.079190969467163,1.783138632774353) (0.169359028339386,0.04715324193239212) 0.1429423838853836 0.178072292332757 (1.598567021947797,1.8086178392975378) (0,0) 1e-07 -0.01142550644955409 (1.5998902798440024,0.30605365413147223) (0,0) 1e-07 -0.01142550644955409 
4.75 (1.6232770681381226,0.9434307217597961) (0.09265914559364319,0.010342208668589592) 0.2199999988079071 -0.01142550644955409 (5.230282849626916,0.881798888047326) 2.0 0.11115555717641737 (3.2537410259246826,0.1674000471830368) (0.20570196211338043,-0.07080043852329254) 0.15092076361179352 -0.2811198743225909 (3.1856088638305664,0.5808542966842651) (0.16865770518779755,-0.051199063658714294) 0.18966922163963318 0.1400572820331314 (3.818077325820923,1.7186881303787231) (0.07821233570575714,0.018026364967226982) 0.13413847982883453 0.32772348636673154 (3.121530771255493,1.7949268817901611) (0.16935905814170837,0.047153227031230927) 0.1429423838853836 0.178072292332757 (1.621736301836378,1.8086590982837853) (0,0) 1e-07 -0.01142550644955409 (1.6230541217814916,0.3060455518184454) (0,0) 1e-07 -0.01142550644955409 
5.0 (1.6461492776870728,0.9459870457649231) (0.09148893505334854,0.010225338861346245) 0.2199999988079071 -0.01142550644955409 (5.230282849626916,0.881798888047326) 2.0 0.11130393178810252 (3.3049468994140625,0.14977554976940155) (0.20482319593429565,-0.07049796730279922) 0.15092076361179352 -0.2811198743225909 (3.2277731895446777,0.5680545568466187) (0.16865772008895874,-0.051199063658714294) 0.18966922163963318 0.1400572820331314 (3.8331594467163086,1.7202001810073853) (0.06032836064696312,0.00604814849793911) 0.13413847982883453 0.32772348636673154 (3.1638705730438232,1.8067152500152588) (0.169359028339386,0.047153253108263016) 0.1429423838853836 0.178072292332757 (1.644612991046797,1.808699836235507) (0,0) 1e-07 -0.01142550644955409 (1.6459254343740657,0.306037551827146) (0,0) 1e-07 -0.01142550644955409 
5.25 (1.668744683265686,0.94851154088974) (0.09038172662258148,0.010097977705299854) 0.2199999988079071 -0.01142550644955409 (5.230282849626916,0.881798888047326) 2.0 0.11126444923825941 (3.3450515270233154,0.1331648975610733) (0.1604180932044983,-0.06644263118505478) 0.15092076361179352 -0.2811198743225909 (3.269937515258789,0.5552548170089722) (0.16865770518779755,-0.051199063658714294) 0.18966922163963318 0.1400572820331314 (3.8426969051361084,1.7204487323760986) (0.03814996778964996,0.0009942064061760902) 0.13413847982883453 0.32772348636673154 (3.2062103748321533,1.818503499031067) (0.16935904324054718,0.047153230756521225) 0.1429423838853836 0.178072292332757 (1.6672128204851553,1.808740081165711) (0,0) 1e-07 -0.01142550644955409 (1.668519954163362,0.3060296486532028) (0,0) 1e-07 -0.01142550644955409 
5.5 (1.6911392211914062,0.9510148167610168) (0.0895782858133316,0.010013045743107796) 0.2199999988079071 -0.01142550644955409 (5.230282849626916,0.881798888047326) 2.0 0.11131773839908628 (3.373725175857544,0.11975719034671783) (0.11469481140375137,-0.05363084003329277) 0.15092076361179352 -0.2811198743225909 (3.3121018409729004,0.5424550771713257) (0.16865772008895874,-0.051199063658714294) 0.18966922163963318 0.1400572820331314 (3.849325180053711,1.720664381980896) (0.026513556018471718,0.0008625639602541924) 0.13413847982883453 0.32772348636673154 (3.2485501766204834,1.8302918672561646) (0.1693590134382248,0.04715326800942421) 0.1429423838853836 0.178072292332757 (1.68961174512126,1.8087799683321644) (0,0) 1e-07 -0.01142550644955409 (1.6909136137464698,0.3060218157367009) (0,0) 1e-07 -0.01142550644955409 
